country,company_name,stock_code,mapping_status,matched_name,evidence_type,source_1,source_2,source_3,confidence_or_score,notes
USA,AMERICAN HOMES 4 RENT A,AMH,mapped_exact_normalized,American Homes 4 Rent,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,BAXTER INTERNATIONAL,BAX,mapped_exact_normalized,BAXTER INTERNATIONAL INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,BENTLEY SYSTEMS B,BSY,mapped_exact_normalized,BENTLEY SYSTEMS INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,BOOZ ALLEN HAMILTON A,BAH,mapped_exact_normalized,Booz Allen Hamilton Holding Corp,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,BROWN-FORMAN CORP B,BF-A,mapped_exact_normalized,BROWN FORMAN CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,BXP,BXP,mapped_exact_normalized,"BXP, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,DOCUSIGN,DOCU,mapped_exact_normalized,"DOCUSIGN, INC.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,DYNATRACE,DT,mapped_exact_normalized,"Dynatrace, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,EQUITY LIFESTYLE PPTYS,,needs_review,,current_mapping_row,,,,0.0,
USA,ESSENTIAL UTILITIES,WTRG,mapped_exact_normalized,"Essential Utilities, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,JM SMUCKER CO,,needs_review,,current_mapping_row,,,,0.0,
USA,NUTANIX A,NTNX,mapped_exact_normalized,"Nutanix, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,PAYCOM SOFTWARE,PAYC,mapped_exact_normalized,"Paycom Software, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
TAIWAN,HONPRECISION,2317,verified_tw_official_round3,鴻海精密工業股份有限公司 / HON HAI,current_mapping_row,Round3 official audit: FinLab company_basic_info + TWSE official reference,,,0.99,
TAIWAN,CHENG SHIN RUBBER IND,2105,verified_tw_official_round3,正新橡膠工業股份有限公司 / CST,current_mapping_row,Round3 official audit: FinLab company_basic_info + TWSE official reference,,,0.99,
TAIWAN,FENG TAY ENTERPRISE CO,9910,verified_tw_official_round3,豐泰企業股份有限公司 / FT,current_mapping_row,Round3 official audit: FinLab company_basic_info + TWSE official reference,,,0.99,
TAIWAN,NIEN MADE ENTERPRISE CO,8464,verified_tw_reference_fuzzy,Nien Made,current_mapping_row,FinLab company_basic_info:英文簡稱,,,0.935,
TAIWAN,CATCHER TECH CO,2474,verified_tw_reference_fuzzy,CATCHER,current_mapping_row,FinLab company_basic_info:英文簡稱,,,0.9483,
TAIWAN,CHENG UEI PRECISION IND,2392,verified_tw_official_round3,正崴精密工業股份有限公司 / FOXLINK,current_mapping_row,Round3 official audit: FinLab company_basic_info + TWSE official reference,,,0.99,
