country,company_name,stock_code,matched_name,mapping_source,mapping_score,mapping_status
USA,ENCORE CAPITAL GROUP,ECPG,ENCORE CAPITAL GROUP INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,ENERGY XXI BERMUDA,,,,0.0,needs_review
USA,FRESH DEL MONTE PRODUCE,FDP,FRESH DEL MONTE PRODUCE INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,FUQI INTERNATIONAL,,,,0.0,needs_review
USA,GASTAR EXPLORATION,,,,0.0,needs_review
USA,GLG PARTNERS,,,,0.0,needs_review
USA,GLOBE SPECIALTY METALS,,,,0.0,needs_review
USA,GOVERNMENT PPTYS INCOME,,,,0.0,needs_review
USA,HI-TECH PHARMACAL CO,,,,0.0,needs_review
USA,I2 TECHNOLOGIES,,,,0.0,needs_review
